Device Name;Device Custom Name;Device Type;Component Name;Component Custom Name;Group;First Activity;Last Activity;IP;MAC;Risk Score;External Communication;Tags;Activities;Vuln;Var;VLAN ID;Vendor;OS;Model;Project;Hardware Version;Firmware Version;Serial Number;Sensors;License Required
;;;Siemens ef:7c:be;;;2026-02-09 19:24:50.541 +0000 UTC;2026-02-09 19:26:13.336 +0000 UTC;;00:1b:1b:ef:7c:be;;No;IO Module;11;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;Siemens 6d:2c:1e;;;2026-02-09 19:24:51.465 +0000 UTC;2026-02-09 19:26:13.336 +0000 UTC;;00:1b:1b:6d:2c:1e;;No;IO Module;11;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;1756-L83ES/B GUARDLOGIX;;;2026-02-09 19:24:51.862 +0000 UTC;2026-02-09 19:26:13.323 +0000 UTC;10.1.2.12;5c:88:16:14:10:77;;No;OPC server/Controller/Rockwell Automation;8;8;0;;Rockwell Automation;;;;;35.11;c6d999a5;CVTrafficGen01;No
;;;1756-L84E/B LOGIX5584E;;;2026-02-09 19:24:52.177 +0000 UTC;2026-02-09 19:26:13.323 +0000 UTC;10.1.2.11;5c:88:16:a9:b2:7a;;No;OPC server/Controller/Rockwell Automation/SNMP Agent;13;19;0;;Rockwell Automation/Allen-Bradley;;1756-L84E/B;;;32.011;3ac43ad8;CVTrafficGen01;No
;;;Siemens da:af:e;;;2026-02-09 19:25:12.754 +0000 UTC;2026-02-09 19:26:13.3 +0000 UTC;;00:1b:1b:da:af:0e;;No;IO Module;3;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;5094-AEN2TR FLEX 5000;;;2026-02-09 19:24:55.641 +0000 UTC;2026-02-09 19:26:13.286 +0000 UTC;10.1.2.21;08:61:95:64:bb:96;;No;Rockwell Automation;4;0;0;;Rockwell Automation;;;;;3.11;9204ed1e;CVTrafficGen01;No
;;;BMEP586040;;;2026-02-09 19:24:53.049 +0000 UTC;2026-02-09 19:26:13.275 +0000 UTC;10.1.3.10;ec:fa:aa:bd:ac:73;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;22;0;;Schneider Electric;;BMEP586040;;;3.30;37716407;CVTrafficGen01;No
;;;10.1.3.16;;;2026-02-09 19:24:58.902 +0000 UTC;2026-02-09 19:26:13.275 +0000 UTC;10.1.3.16;ec:fa:aa:2e:fa:5a;;No;Controller;3;1;0;;Schneider Electric;;ATV630D15N4;;;V1.7IE61;;CVTrafficGen01;No
;;;1756-L85E LOGIX5580;;;2026-02-09 19:24:52.868 +0000 UTC;2026-02-09 19:26:13.231 +0000 UTC;10.1.2.10;e4:90:69:f9:c5:92;;No;OPC server/Controller/Rockwell Automation/SNMP Agent;15;8;0;;Rockwell Automation/Allen-Bradley;;1756-L85E;;;35.11;2223e914;CVTrafficGen01;No
;;;20F-D052N103 POWERFLEX 753;;;2026-02-09 19:24:55.275 +0000 UTC;2026-02-09 19:26:13.231 +0000 UTC;10.1.2.20;08:61:95:bc:d6:c2;;No;Rockwell Automation;3;0;0;;Rockwell Automation;;;;;20.3;fdfd0e82;CVTrafficGen01;No
